Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\include\internal\PaxHeaders.20920,19,61,42,0,0,19,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\include\internal\services,36,1575,708,166,0,447,42,420,2045,299,1537
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\include\internal\services\PaxHeaders.20920,18,55,37,0,0,18,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src,313,23006,12472,4536,66,4675,840,5859,35262,3157,18008
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\autofit,33,2286,995,313,6,585,129,706,4132,280,1429
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\autofit\PaxHeaders.20920,17,63,46,0,0,17,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\base,6,216,90,21,0,56,4,70,442,56,311
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\base\PaxHeaders.20920,3,9,6,0,0,3,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\bdf,6,434,196,107,0,125,57,113,979,73,591
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\bdf\PaxHeaders.20920,3,9,6,0,0,3,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\cache,16,1476,706,189,24,329,32,441,2481,298,1584
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\cache\PaxHeaders.20920,8,24,16,0,0,8,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\cff,44,2869,1216,553,0,672,119,981,6824,625,4537
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\cff\PaxHeaders.20920,22,67,45,0,0,22,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\cid,14,605,238,47,0,165,16,202,929,117,591
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\cid\PaxHeaders.20920,7,21,14,0,0,7,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\gxvalid,14,1151,613,238,7,263,117,275,1396,182,930
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\gxvalid\PaxHeaders.20920,7,22,15,0,0,7,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\gzip,16,1741,731,1775,1,206,100,804,6568,84,578
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\gzip\PaxHeaders.20920,8,25,17,0,0,8,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\lzw,2,175,62,33,0,34,13,79,515,19,106
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\lzw\PaxHeaders.20920,1,3,2,0,0,1,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\otvalid,10,656,327,55,3,164,11,165,640,87,430
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\otvalid\PaxHeaders.20920,5,15,10,0,0,5,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\pcf,10,446,206,86,0,113,7,127,848,121,810
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\pcf\PaxHeaders.20920,5,15,10,0,0,5,0,0,0,0,0
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\pfr,16,823,414,203,1,247,18,162,805,133,663
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\External\FreeFont\freetype-2.5.2\src\pfr\PaxHeaders.20920,8,24,16,0,0,8,0,0,0,0,0
